qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
query2|unknown_host2|phage_test2|label=positive	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	29.508	61	33	2	717	769	255	313	4.5	22.3	811
query2|unknown_host2|phage_test2|label=positive	YP_009880322.1|Escherichia|Bacteriophage_ep75|Sipho|RBP	25.225	111	65	3	239	334	329	436	7.9	21.6	811
query2|unknown_host2|phage_test2|label=positive	pdb_00007qlr|Clostridium|Bacteriophage_C._difficile|Sipho|RBP	24.242	33	25	0	536	568	252	284	8.5	21.6	811
query2|unknown_host2|phage_test2|label=positive	pdb_0000q0pdk6|Bacillus|Bacteriophage_SPP1|Sipho|RBP	25.397	63	42	1	216	273	739	801	10	21.6	811
query2|unknown_host2|phage_test2|label=positive	YP_004782195.1|Escherichia|Bacteriophage_vB_EcoP_G7C|Podo|RBP	37.037	27	17	0	157	183	285	311	15	20.8	811
query2|unknown_host2|phage_test2|label=positive	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	27.869	61	34	2	717	769	252	310	17	20.4	811
query2|unknown_host2|phage_test2|label=positive	P07627|Enterobacteria|Bacteriophage_Ox2|Sipho|RBP	40.000	35	20	1	695	728	136	170	27	19.6	811
query2|unknown_host2|phage_test2|label=positive	pdb_00001zru|Lactococcal|Bacteriophage_P2|Myo|RBP	34.211	38	23	1	271	306	5	42	28	19.6	811
query2|unknown_host2|phage_test2|label=positive	QQG32074.1|Salmonella|Bacteriophage_vB_CkoM_CkP1|Myo|RBP	39.130	23	13	1	652	673	360	382	29	20.0	811
query2|unknown_host2|phage_test2|label=positive	pdb_00005yvq|Enterobacteria|Bacteriophage_Mu|Myo|RBP	38.095	21	8	1	725	745	210	225	33	19.6	811
query2|unknown_host2|phage_test2|label=positive	AEM91897.1|Escherichia|Bacteriophage_Cba120|Sipho|RBP	27.778	54	25	2	704	757	453	492	33	19.6	811
query2|unknown_host2|phage_test2|label=positive	pdb_00004rga|Lactococcus|Bacteriophage_1358|Sipho|RBP	31.034	29	20	0	507	535	336	364	34	19.6	811
query2|unknown_host2|phage_test2|label=positive	YP_006382457.1|Escherichia|Bacteriophage_vB_EcoS_AKFV33|Sipho|RBP	30.357	112	55	7	590	694	100	195	49	19.2	811
query2|unknown_host2|phage_test2|label=positive	AUV56907.1|Staphylococcus|Bacteriophage_vB_SauM_LM12|Myo|RBP	30.769	26	18	0	571	596	243	268	51	18.9	811
query2|unknown_host2|phage_test2|label=positive	pdb_00005efv|Staphylococcus|Bacteriophage_11|Sipho|RBP	66.667	9	3	0	162	170	162	170	52	19.2	811
query2|unknown_host2|phage_test2|label=positive	Q858F5|Salmonella|Bacteriophage_epsilon15|Podo|RBP	27.500	40	28	1	23	61	39	78	52	19.2	811
query2|unknown_host2|phage_test2|label=positive	P0DTN8|Klebsiella|Bacteriophage_RAD2|Podo|RBP	40.909	22	10	1	345	363	783	804	55	18.9	811
query2|unknown_host2|phage_test2|label=positive	P0DTN7|Klebsiella|Bacteriophage_B1|Podo|RBP	40.909	22	10	1	345	363	783	804	56	18.9	811
query2|unknown_host2|phage_test2|label=positive	AVZ45096|Escherichia|Bacteriophage_EP335|Podo|RBP	75.000	8	2	0	342	349	500	507	58	18.9	811
query2|unknown_host2|phage_test2|label=positive	pdb_00006iab|Staphylococcus|Bacteriophage_P68|Sipho|RBP	38.889	18	11	0	152	169	454	471	61	18.9	811
query2|unknown_host2|phage_test2|label=positive	AEL79676.1|Escherichia|Bacteriophage_vB_EcoP_G7C|Podo|RBP	22.785	79	52	3	537	615	225	294	63	18.9	811
query2|unknown_host2|phage_test2|label=positive	P13332|Enterobacteria|Bacteriophage_T4|Myo|RBP	24.390	82	54	3	636	712	378	456	83	18.5	811
query2|unknown_host2|phage_test2|label=positive	YP_003347556.1|Klebsiella|Bacteriophage_KP32|Podo|RBP	28.947	38	20	2	341	374	358	392	95	18.1	811
query2|unknown_host2|phage_test2|label=positive	pdb_00008xci|Escherichia|Bacteriophage_lambda|Sipho|RBP	43.478	23	10	1	65	87	541	560	129	17.7	811
query2|unknown_host2|phage_test2|label=positive	P10308|Enterobacteria|Bacteriophage_T3|Podo|RBP	31.818	66	39	3	686	750	63	123	130	17.7	811
query2|unknown_host2|phage_test2|label=positive	K9L8K6|Klebsiella|Bacteriophage_KP36|Podo|RBP	23.404	94	48	3	18	110	252	322	131	17.7	811
query2|unknown_host2|phage_test2|label=positive	P03748|Escherichia|Bacteriophage_T7|Podo|RBP	28.000	25	18	0	87	111	277	301	136	17.7	811
query2|unknown_host2|phage_test2|label=positive	P10930|Enterobacteria|Bacteriophage_T4|Myo|RBP	53.846	13	6	0	428	440	455	467	140	17.7	811
query2|unknown_host2|phage_test2|label=positive	P03744|Enterobacteria|Bacteriophage_T4|Myo|RBP	45.000	20	10	1	316	334	727	746	147	17.7	811
query2|unknown_host2|phage_test2|label=positive	YP_009788589.1|Klebsiella|Bacteriophage_K5-2|Myo|RBP	29.412	17	12	0	532	548	535	551	157	17.7	811
query2|unknown_host2|phage_test2|label=positive	YP_001671760.1|Escherichia|Bacteriophage_PhiEco32|Podo|RBP	27.660	47	27	3	478	524	572	611	174	17.3	811
query2|unknown_host2|phage_test2|label=positive	Q9G0B4|Escherichia|Bacteriophage_AR1|Podo|RBP	28.000	25	18	0	272	296	1	25	185	17.3	811
query2|unknown_host2|phage_test2|label=positive	P07875|Enterobacteria|Bacteriophage_T2|Myo|RBP	40.000	25	13	1	610	634	1	23	205	16.9	811
query2|unknown_host2|phage_test2|label=positive	P07876|Enterobacteria|Bacteriophage_K3|Podo|RBP	43.478	23	11	1	610	632	1	21	222	16.9	811
query2|unknown_host2|phage_test2|label=positive	P12528|Salmonella|Bacteriophage_P22|Podo|RBP	30.769	39	23	1	183	221	495	529	235	16.9	811
query2|unknown_host2|phage_test2|label=positive	AEM91899.1|Escherichia|Bacteriophage_Cba120|Sipho|RBP	20.455	44	35	0	238	281	576	619	246	16.9	811
query2|unknown_host2|phage_test2|label=positive	QLF82969.1|Klebsiella|Bacteriophage_KpnM6E1|Myo|RBP	45.455	11	6	0	357	367	128	138	287	16.5	811
query2|unknown_host2|phage_test2|label=positive	pdb_00005e7f|Lactococcus|Bacteriophage_Tuc2009|Sipho|RBP	35.000	20	13	0	86	105	82	101	295	16.5	811
query2|unknown_host2|phage_test2|label=positive	M1EBB2.1|Salmonella|Salmonella_phage_vB_SenM-S16|Myo|RBP	36.364	22	13	1	402	423	15	35	368	16.2	811
query2|unknown_host2|phage_test2|label=positive	Q775D6|Bordetella|Bacteriophage_BPP-1|Podo|RBP	44.444	9	5	0	16	24	185	193	485	15.8	811
query2|unknown_host2|phage_test2|label=positive	P23207.2|Escherichia|Bacteriophage_T5|Sipho|RBP	23.810	21	16	0	161	181	580	600	523	15.8	811
query2|unknown_host2|phage_test2|label=positive	NP_112089.1|Enterobacteria|Bacteriophage_HK620|Sipho|RBP	30.435	23	16	0	142	164	9	31	736	15.0	811
query2|unknown_host2|phage_test2|label=positive	P22588|Escherichia|Bacteriophage_P1|Myo|RBP	57.143	7	3	0	104	110	80	86	775	15.0	811
query2|unknown_host2|phage_test2|label=positive	pdb_00002f0c|Lactococcus|Bacteriophage_P335|Sipho|RBP	22.857	35	26	1	644	678	58	91	925	15.0	811
query2|unknown_host2|phage_test2|label=positive	P08234|Enterobacteria|Bacteriophage_M1|Podo|RBP	71.429	7	2	0	554	560	94	100	986	15.0	811
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	pdb_00006iab|Staphylococcus|Bacteriophage_P68|Sipho|RBP	33.278	601	358	11	35	603	55	644	2.39e-100	319	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	pdb_00005efv|Staphylococcus|Bacteriophage_11|Sipho|RBP	26.642	548	345	21	43	560	70	590	3.20e-36	138	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P20345|Bacillus|Bacteriophage_phi-29|Podo|RBP	53.125	96	45	0	2	97	3	98	2.62e-28	114	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P07537|Bacillus|Bacteriophage_PZA|Podo|RBP	53.125	96	45	0	2	97	3	98	2.96e-28	114	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	YP_006382457.1|Escherichia|Bacteriophage_vB_EcoS_AKFV33|Sipho|RBP	47.826	23	12	0	657	679	297	319	0.57	25.4	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	27.500	80	40	4	55	129	10	76	0.77	25.0	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	44.000	25	11	1	54	78	8	29	1.9	23.9	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	pdb_00008xci|Escherichia|Bacteriophage_lambda|Sipho|RBP	27.143	70	37	2	400	455	436	505	1.9	23.9	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	AEL79676.1|Escherichia|Bacteriophage_vB_EcoP_G7C|Podo|RBP	31.250	32	20	1	183	214	116	145	4.1	22.7	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P03748|Escherichia|Bacteriophage_T7|Podo|RBP	38.462	39	21	1	607	645	214	249	4.5	22.7	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	pdb_0000q0pdk6|Bacillus|Bacteriophage_SPP1|Sipho|RBP	23.958	96	56	3	438	532	310	389	7.1	21.9	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	YP_512279.1|Escherichia|Bacteriophage_phiV10|Sipho|RBP	42.857	21	12	0	334	354	519	539	7.4	21.9	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	AEM91899.1|Escherichia|Bacteriophage_Cba120|Sipho|RBP	32.609	46	27	2	647	689	82	126	12	21.2	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	AVZ45096|Escherichia|Bacteriophage_EP335|Podo|RBP	23.810	42	23	1	167	199	528	569	13	21.2	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	APZ82848.1|Klebsiella|Bacteriophage_K5-4|Myo|RBP	29.167	24	17	0	570	593	513	536	14	21.2	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P22588|Escherichia|Bacteriophage_P1|Myo|RBP	24.590	61	42	2	373	432	88	145	15	20.8	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	Q775D6|Bordetella|Bacteriophage_BPP-1|Podo|RBP	31.250	32	19	1	435	466	122	150	15	20.8	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P10308|Enterobacteria|Bacteriophage_T3|Podo|RBP	24.051	79	57	2	196	273	398	474	16	20.8	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P0DTN8|Klebsiella|Bacteriophage_RAD2|Podo|RBP	41.667	24	13	1	805	828	174	196	19	20.4	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	Q858F5|Salmonella|Bacteriophage_epsilon15|Podo|RBP	34.286	35	19	1	525	559	36	66	20	20.4	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P0DTN7|Klebsiella|Bacteriophage_B1|Podo|RBP	41.667	24	13	1	805	828	174	196	20	20.4	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	Q9XJP3|Shigella|Bacteriophage_Sf6|Podo|RBP	38.889	18	11	0	154	171	523	540	23	20.4	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P07627|Enterobacteria|Bacteriophage_Ox2|Sipho|RBP	43.478	23	13	0	636	658	135	157	24	20.0	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	OUTGROUP_CAPSID_06|Enterobacter_phage_CC31|major_head_protein|YP_004010035.1|OUTGROUP	29.412	34	19	1	52	80	4	37	24	20.0	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	AEM91898.1|Escherichia|Bacteriophage_Cba120|Sipho|RBP	25.926	27	20	0	47	73	289	315	25	20.0	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P23207.2|Escherichia|Bacteriophage_T5|Sipho|RBP	38.889	36	20	1	611	644	404	439	26	20.0	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	YP_009880322.1|Escherichia|Bacteriophage_ep75|Sipho|RBP	32.000	25	17	0	1	25	610	634	28	20.0	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P13332|Enterobacteria|Bacteriophage_T4|Myo|RBP	17.073	41	33	1	673	713	143	182	31	20.0	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P03744|Enterobacteria|Bacteriophage_T4|Myo|RBP	44.444	18	10	0	580	597	211	228	42	19.6	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	Q04830|Escherichia|Bacteriophage_K1F|Podo|RBP	25.641	39	27	1	29	65	134	172	48	19.2	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	YP_654148.1|Escherichia|Bacteriophage_K1-5|Podo|RBP	25.926	27	20	0	262	288	373	399	52	19.2	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	YP_003347556.1|Klebsiella|Bacteriophage_KP32|Podo|RBP	21.429	70	39	2	754	821	499	554	53	19.2	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	AUV56907.1|Staphylococcus|Bacteriophage_vB_SauM_LM12|Myo|RBP	30.000	30	18	1	442	471	75	101	53	19.2	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	YP_009168860.1|Escherichia|Bacteriophage_K1H|Podo|RBP	34.483	29	15	1	484	512	495	519	57	18.9	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	OUTGROUP_CAPSID_04|Escherichia_phage_IME08|major_head_protein|YP_003734314.1|OUTGROUP	27.778	36	21	1	55	85	9	44	57	18.9	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	K9L8K6|Klebsiella|Bacteriophage_KP36|Podo|RBP	26.316	95	61	3	329	423	725	810	60	18.9	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	OUTGROUP_CAPSID_03|Escherichia_phage_vB_EcoM_VR25|major_head_protein|YP_009209931.1|OUTGROUP	27.778	36	21	1	55	85	6	41	60	18.9	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	50.000	12	6	0	53	64	4	15	73	18.5	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P12528|Salmonella|Bacteriophage_P22|Podo|RBP	35.714	14	9	0	156	169	288	301	76	18.5	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	pdb_00001zru|Lactococcal|Bacteriophage_P2|Myo|RBP	23.214	56	39	2	798	852	212	264	77	18.5	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	YP_009788589.1|Klebsiella|Bacteriophage_K5-2|Myo|RBP	35.000	20	13	0	53	72	302	321	80	18.5	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	pdb_00004rga|Lactococcus|Bacteriophage_1358|Sipho|RBP	25.926	27	20	0	443	469	251	277	84	18.5	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P0DJY6|Escherichia|Bacteriophage_Mu|Myo|RBP	33.333	27	18	0	190	216	168	194	91	18.1	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	pdb_00005yvq|Enterobacteria|Bacteriophage_Mu|Myo|RBP	31.034	29	20	0	819	847	119	147	106	18.1	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	CBY99572.1|Escherichia|Bacteriophage_phi92|Myo|RBP	45.000	20	11	0	716	735	426	445	110	18.1	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	pdb_00007qlr|Clostridium|Bacteriophage_C._difficile|Sipho|RBP	28.125	32	22	1	275	305	516	547	111	18.1	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	AEM91897.1|Escherichia|Bacteriophage_Cba120|Sipho|RBP	38.710	31	16	1	190	217	792	822	113	18.1	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	Q9G0B4|Escherichia|Bacteriophage_AR1|Podo|RBP	33.333	21	14	0	627	647	228	248	115	17.7	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	NP_112089.1|Enterobacteria|Bacteriophage_HK620|Sipho|RBP	50.000	10	5	0	556	565	6	15	136	17.3	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P49714|Escherichia|Bacteriophage_K1E|Podo|RBP	25.926	27	20	0	262	288	373	399	137	17.7	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P10930|Enterobacteria|Bacteriophage_T4|Myo|RBP	36.842	19	12	0	522	540	450	468	142	17.7	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	M1EBB2.1|Salmonella|Salmonella_phage_vB_SenM-S16|Myo|RBP	25.641	39	25	1	680	718	204	238	161	17.3	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	pdb_00005e7f|Lactococcus|Bacteriophage_Tuc2009|Sipho|RBP	25.806	62	39	3	512	567	80	140	180	17.3	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	QQG32074.1|Salmonella|Bacteriophage_vB_CkoM_CkP1|Myo|RBP	43.750	16	9	0	516	531	240	255	186	17.3	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	YP_001671760.1|Escherichia|Bacteriophage_PhiEco32|Podo|RBP	25.000	36	24	1	794	829	1	33	219	16.9	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P08234|Enterobacteria|Bacteriophage_M1|Podo|RBP	60.000	10	4	0	195	204	51	60	226	16.9	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P07876|Enterobacteria|Bacteriophage_K3|Podo|RBP	29.167	24	16	1	72	95	12	34	266	16.5	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	P07875|Enterobacteria|Bacteriophage_T2|Myo|RBP	41.667	12	7	0	72	83	12	23	288	16.5	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	O09496|Escherichia|Bacteriophage_K5|Podo|RBP	60.000	10	4	0	625	634	86	95	401	16.2	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	YP_654147.1|Escherichia|Bacteriophage_K1-5|Podo|RBP	60.000	10	4	0	625	634	86	95	408	16.2	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	pdb_00002fsd|Lactococcus|Bacteriophage_bIL170|Sipho|RBP	35.294	17	11	0	628	644	107	123	426	15.8	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	YP_004782195.1|Escherichia|Bacteriophage_vB_EcoP_G7C|Podo|RBP	66.667	6	2	0	833	838	287	292	450	16.2	852
query3|bacillus_subtilis|Bacillus_phage_Chedec_11|label=pharbp	pdb_00002f0c|Lactococcus|Bacteriophage_P335|Sipho|RBP	31.579	19	13	0	448	466	53	71	755	15.4	852
query4|unknown_host|Lactobacillus_phage_ViSo_2018a|label=pharbp	pdb_00006iab|Staphylococcus|Bacteriophage_P68|Sipho|RBP	27.119	59	38	1	602	660	216	269	0.23	26.6	830
query4|unknown_host|Lactobacillus_phage_ViSo_2018a|label=pharbp	AVZ45096|Escherichia|Bacteriophage_EP335|Podo|RBP	28.571	70	48	1	440	509	480	547	1.1	24.6	830
query4|unknown_host|Lactobacillus_phage_ViSo_2018a|label=pharbp	Q858F5|Salmonella|Bacteriophage_epsilon15|Podo|RBP	25.439	114	66	4	156	251	634	746	1.4	24.3	830
query4|unknown_host|Lactobacillus_phage_ViSo_2018a|label=pharbp	pdb_00005efv|Staphylococcus|Bacteriophage_11|Sipho|RBP	19.780	182	123	4	602	768	211	384	2.2	23.5	830
query4|unknown_host|Lactobacillus_phage_ViSo_2018a|label=pharbp	P03744|Enterobacteria|Bacteriophage_T4|Myo|RBP	25.000	24	18	0	12	35	538	561	9.5	21.6	830
query4|unknown_host|Lactobacillus_phage_ViSo_2018a|label=pharbp	YP_009168860.1|Escherichia|Bacteriophage_K1H|Podo|RBP	45.161	31	12	2	629	654	425	455	11	21.2	830
query4|unknown_host|Lactobacillus_phage_ViSo_2018a|label=pharbp	YP_001671760.1|Escherichia|Bacteriophage_PhiEco32|Podo|RBP	37.500	24	14	1	740	762	239	262	16	20.8	830
query4|unknown_host|Lactobacillus_phage_ViSo_2018a|label=pharbp	YP_009880322.1|Escherichia|Bacteriophage_ep75|Sipho|RBP	28.000	75	45	4	148	213	626	700	17	20.8	830
query4|unknown_host|Lactobacillus_phage_ViSo_2018a|label=pharbp	NP_112089.1|Enterobacteria|Bacteriophage_HK620|Sipho|RBP	26.923	52	36	2	650	700	50	100	17	20.0	830
query4|unknown_host|Lactobacillus_phage_ViSo_2018a|label=pharbp	AEM91899.1|Escherichia|Bacteriophage_Cba120|Sipho|RBP	34.615	26	17	0	177	202	528	553	18	20.8	830
query4|unknown_host|Lactobacillus_phage_ViSo_2018a|label=pharbp	CBY99572.1|Escherichia|Bacteriophage_phi92|Myo|RBP	23.770	122	63	4	168	275	61	166	19	20.4	830
query4|unknown_host|Lactobacillus_phage_ViSo_2018a|label=pharbp	pdb_00007qlr|Clostridium|Bacteriophage_C._difficile|Sipho|RBP	26.050	119	61	6	183	289	172	275	20	20.4	830
query4|unknown_host|Lactobacillus_phage_ViSo_2018a|label=pharbp	AEL79676.1|Escherichia|Bacteriophage_vB_EcoP_G7C|Podo|RBP	38.889	18	11	0	800	817	228	245	21	20.4	830
