seq_id	accession	host	phage	morphotype	role	length
YP_006382457.1|Escherichia|Bacteriophage_vB_EcoS_AKFV33|Sipho|RBP	YP_006382457.1	Escherichia	Bacteriophage_vB_EcoS_AKFV33	Sipho	RBP	585
YP_654147.1|Escherichia|Bacteriophage_K1-5|Podo|RBP	YP_654147.1	Escherichia	Bacteriophage_K1-5	Podo	RBP	632
QQG32074.1|Salmonella|Bacteriophage_vB_CkoM_CkP1|Myo|RBP	QQG32074.1	Salmonella	Bacteriophage_vB_CkoM_CkP1	Myo	RBP	670
P13332|Enterobacteria|Bacteriophage_T4|Myo|RBP	P13332	Enterobacteria	Bacteriophage_T4	Myo	RBP	659
AUV56907.1|Staphylococcus|Bacteriophage_vB_SauM_LM12|Myo|RBP	AUV56907.1	Staphylococcus	Bacteriophage_vB_SauM_LM12	Myo	RBP	458
QLF82969.1|Klebsiella|Bacteriophage_KpnM6E1|Myo|RBP	QLF82969.1	Klebsiella	Bacteriophage_KpnM6E1	Myo	RBP	166
P23207.2|Escherichia|Bacteriophage_T5|Sipho|RBP	P23207.2	Escherichia	Bacteriophage_T5	Sipho	RBP	640
pdb_00005yvq|Enterobacteria|Bacteriophage_Mu|Myo|RBP	pdb_00005yvq	Enterobacteria	Bacteriophage_Mu	Myo	RBP	504
pdb_00001zru|Lactococcal|Bacteriophage_P2|Myo|RBP	pdb_00001zru	Lactococcal	Bacteriophage_P2	Myo	RBP	264
M1EBB2.1|Salmonella|Salmonella_phage_vB_SenM-S16|Myo|RBP	M1EBB2.1	Salmonella	Salmonella_phage_vB_SenM-S16	Myo	RBP	249
pdb_00006iab|Staphylococcus|Bacteriophage_P68|Sipho|RBP	pdb_00006iab	Staphylococcus	Bacteriophage_P68	Sipho	RBP	653
pdb_00002fsd|Lactococcus|Bacteriophage_bIL170|Sipho|RBP	pdb_00002fsd	Lactococcus	Bacteriophage_bIL170	Sipho	RBP	142
pdb_00002f0c|Lactococcus|Bacteriophage_P335|Sipho|RBP	pdb_00002f0c	Lactococcus	Bacteriophage_P335	Sipho	RBP	191
pdb_00005e7f|Lactococcus|Bacteriophage_Tuc2009|Sipho|RBP	pdb_00005e7f	Lactococcus	Bacteriophage_Tuc2009	Sipho	RBP	174
pdb_0000q0pdk6|Bacillus|Bacteriophage_SPP1|Sipho|RBP	pdb_0000q0pdk6	Bacillus	Bacteriophage_SPP1	Sipho	RBP	1111
pdb_00008xci|Escherichia|Bacteriophage_lambda|Sipho|RBP	pdb_00008xci	Escherichia	Bacteriophage_lambda	Sipho	RBP	1132
pdb_00005efv|Staphylococcus|Bacteriophage_11|Sipho|RBP	pdb_00005efv	Staphylococcus	Bacteriophage_11	Sipho	RBP	648
pdb_00007qlr|Clostridium|Bacteriophage_C._difficile|Sipho|RBP	pdb_00007qlr	Clostridium	Bacteriophage_C._difficile	Sipho	RBP	616
pdb_00004rga|Lactococcus|Bacteriophage_1358|Sipho|RBP	pdb_00004rga	Lactococcus	Bacteriophage_1358	Sipho	RBP	393
P03744|Enterobacteria|Bacteriophage_T4|Myo|RBP	P03744	Enterobacteria	Bacteriophage_T4	Myo	RBP	1026
P10930|Enterobacteria|Bacteriophage_T4|Myo|RBP	P10930	Enterobacteria	Bacteriophage_T4	Myo	RBP	527
P0DJY6|Escherichia|Bacteriophage_Mu|Myo|RBP	P0DJY6	Escherichia	Bacteriophage_Mu	Myo	RBP	328
P07875|Enterobacteria|Bacteriophage_T2|Myo|RBP	P07875	Enterobacteria	Bacteriophage_T2	Myo	RBP	262
P22588|Escherichia|Bacteriophage_P1|Myo|RBP	P22588	Escherichia	Bacteriophage_P1	Myo	RBP	247
P12528|Salmonella|Bacteriophage_P22|Podo|RBP	P12528	Salmonella	Bacteriophage_P22	Podo	RBP	667
P20345|Bacillus|Bacteriophage_phi-29|Podo|RBP	P20345	Bacillus	Bacteriophage_phi-29	Podo	RBP	854
P49714|Escherichia|Bacteriophage_K1E|Podo|RBP	P49714	Escherichia	Bacteriophage_K1E	Podo	RBP	811
Q9XJP3|Shigella|Bacteriophage_Sf6|Podo|RBP	Q9XJP3	Shigella	Bacteriophage_Sf6	Podo	RBP	623
K9L8K6|Klebsiella|Bacteriophage_KP36|Podo|RBP	K9L8K6	Klebsiella	Bacteriophage_KP36	Podo	RBP	883
O09496|Escherichia|Bacteriophage_K5|Podo|RBP	O09496	Escherichia	Bacteriophage_K5	Podo	RBP	632
P03748|Escherichia|Bacteriophage_T7|Podo|RBP	P03748	Escherichia	Bacteriophage_T7	Podo	RBP	553
P07876|Enterobacteria|Bacteriophage_K3|Podo|RBP	P07876	Enterobacteria	Bacteriophage_K3	Podo	RBP	260
P0DTN7|Klebsiella|Bacteriophage_B1|Podo|RBP	P0DTN7	Klebsiella	Bacteriophage_B1	Podo	RBP	907
P0DTN8|Klebsiella|Bacteriophage_RAD2|Podo|RBP	P0DTN8	Klebsiella	Bacteriophage_RAD2	Podo	RBP	907
Q775D6|Bordetella|Bacteriophage_BPP-1|Podo|RBP	Q775D6	Bordetella	Bacteriophage_BPP-1	Podo	RBP	381
Q858F5|Salmonella|Bacteriophage_epsilon15|Podo|RBP	Q858F5	Salmonella	Bacteriophage_epsilon15	Podo	RBP	1070
Q9G0B4|Escherichia|Bacteriophage_AR1|Podo|RBP	Q9G0B4	Escherichia	Bacteriophage_AR1	Podo	RBP	259
P07627|Enterobacteria|Bacteriophage_Ox2|Sipho|RBP	P07627	Enterobacteria	Bacteriophage_Ox2	Sipho	RBP	216
P08234|Enterobacteria|Bacteriophage_M1|Podo|RBP	P08234	Enterobacteria	Bacteriophage_M1	Podo	RBP	262
P10308|Enterobacteria|Bacteriophage_T3|Podo|RBP	P10308	Enterobacteria	Bacteriophage_T3	Podo	RBP	557
P07537|Bacillus|Bacteriophage_PZA|Podo|RBP	P07537	Bacillus	Bacteriophage_PZA	Podo	RBP	854
OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	NP_049787.1	Escherichia_phage_T4	Escherichia_phage_T4	OUTGROUP	major_head_protein	521
OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	YP_010090013.1	Escherichia_phage_phiC120	Escherichia_phage_phiC120	OUTGROUP	major_head_protein	522
OUTGROUP_CAPSID_03|Escherichia_phage_vB_EcoM_VR25|major_head_protein|YP_009209931.1|OUTGROUP	YP_009209931.1	Escherichia_phage_vB_EcoM_VR25	Escherichia_phage_vB_EcoM_VR25	OUTGROUP	major_head_protein	519
OUTGROUP_CAPSID_04|Escherichia_phage_IME08|major_head_protein|YP_003734314.1|OUTGROUP	YP_003734314.1	Escherichia_phage_IME08	Escherichia_phage_IME08	OUTGROUP	major_head_protein	522
OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	YP_009288862.1	Klebsiella_phage_vB_KpnM_KpV477	Klebsiella_phage_vB_KpnM_KpV477	OUTGROUP	major_head_protein	519
OUTGROUP_CAPSID_06|Enterobacter_phage_CC31|major_head_protein|YP_004010035.1|OUTGROUP	YP_004010035.1	Enterobacter_phage_CC31	Enterobacter_phage_CC31	OUTGROUP	major_head_protein	520
