query	target	evalue	bits	alntmscore	qtmscore	ttmscore	rmsd
query2_unknown_host2_phage_test2	NP_112089.1_Enterobacteria_Bacteriophage_HK620_Sipho_RBP	2.203E-01	8	4.339E-01	8.433E-02	4.030E-01	5.108E+00
query2_unknown_host2_phage_test2	YP_009880322.1_Escherichia_Bacteriophage_ep75_Sipho_RBP	2.201E-01	21	2.931E-01	2.244E-01	2.374E-01	8.344E+00
query2_unknown_host2_phage_test2	P22588_Escherichia_Bacteriophage_P1_Myo_RBP	2.168E-01	12	3.497E-01	1.335E-01	3.364E-01	6.761E+00
query2_unknown_host2_phage_test2	Q775D6_Bordetella_Bacteriophage_BPP-1_Podo_RBP	2.143E-01	15	2.932E-01	1.609E-01	2.927E-01	6.964E+00
query2_unknown_host2_phage_test2	Q858F5_Salmonella_Bacteriophage_epsilon15_Podo_RBP	2.091E-01	23	3.066E-01	2.428E-01	1.956E-01	8.992E+00
query2_unknown_host2_phage_test2	AEM91899.1_Escherichia_Bacteriophage_Cba120_Sipho_RBP	2.081E-01	22	2.959E-01	2.383E-01	1.967E-01	8.713E+00
query2_unknown_host2_phage_test2	P08234_Enterobacteria_Bacteriophage_M1_Podo_RBP	2.060E-01	12	3.219E-01	1.307E-01	3.134E-01	6.848E+00
query2_unknown_host2_phage_test2	P07876_Enterobacteria_Bacteriophage_K3_Podo_RBP	2.058E-01	12	3.177E-01	1.288E-01	3.142E-01	6.571E+00
query2_unknown_host2_phage_test2	P20345_Bacillus_Bacteriophage_phi-29_Podo_RBP	2.002E-01	20	3.276E-01	2.140E-01	2.055E-01	8.436E+00
query2_unknown_host2_phage_test2	P0DJY6_Escherichia_Bacteriophage_Mu_Myo_RBP	1.996E-01	13	3.184E-01	1.386E-01	2.856E-01	6.838E+00
query2_unknown_host2_phage_test2	P13332_Enterobacteria_Bacteriophage_T4_Myo_RBP	1.985E-01	18	3.341E-01	1.908E-01	2.249E-01	7.787E+00
query2_unknown_host2_phage_test2	P03744_Enterobacteria_Bacteriophage_T4_Myo_RBP	1.970E-01	21	2.784E-01	2.242E-01	1.863E-01	8.577E+00
query2_unknown_host2_phage_test2	pdb_00008xci_Escherichia_Bacteriophage_lambda_Sipho_RBP	1.689E-01	19	2.854E-01	1.992E-01	1.532E-01	8.649E+00
query2_unknown_host2_phage_test2	pdb_0000q0pdk6_Bacillus_Bacteriophage_SPP1_Sipho_RBP	1.602E-01	17	2.665E-01	1.883E-01	1.469E-01	8.832E+00
query2_unknown_host2_phage_test2	pdb_00005yvq_Escherichia_Bacteriophage_Mu_Myo_RBP	1.544E-01	12	3.654E-01	1.309E-01	1.928E-01	6.852E+00
query1_unknown_host1_phage_test1	P12528_Salmonella_Bacteriophage_P22_Podo_RBP	5.400E-01	73	8.036E-01	7.543E-01	3.545E-01	3.336E+00
query1_unknown_host1_phage_test1	YP_009880322.1_Escherichia_Bacteriophage_ep75_Sipho_RBP	5.183E-01	71	7.601E-01	7.512E-01	3.230E-01	4.042E+00
query1_unknown_host1_phage_test1	AEM91898.1_Escherichia_Bacteriophage_Cba120_Sipho_RBP	5.137E-01	67	7.222E-01	7.056E-01	3.590E-01	3.950E+00
query1_unknown_host1_phage_test1	Q9XJP3_Shigella_Bacteriophage_Sf6_Podo_RBP	5.121E-01	66	7.067E-01	7.027E-01	3.674E-01	4.657E+00
query1_unknown_host1_phage_test1	YP_003347556.1_Klebsiella_Bacteriophage_KP32_Podo_RBP	4.817E-01	61	6.845E-01	6.438E-01	3.528E-01	4.082E+00
query1_unknown_host1_phage_test1	O09496_Escherichia_Bacteriophage_K5_Podo_RBP	4.798E-01	63	6.846E-01	6.606E-01	3.355E-01	4.426E+00
query1_unknown_host1_phage_test1	YP_654147.1_Escherichia_Bacteriophage_K1-5_Podo_RBP	4.763E-01	62	6.618E-01	6.560E-01	3.341E-01	4.330E+00
query1_unknown_host1_phage_test1	YP_512279.1_Escherichia_Bacteriophage_phiV10_Sipho_RBP	4.727E-01	68	7.252E-01	7.123E-01	2.640E-01	3.972E+00
query1_unknown_host1_phage_test1	AEL79676.1_Escherichia_Bacteriophage_vB_EcoP_G7C_Podo_RBP	4.685E-01	70	7.442E-01	7.399E-01	2.356E-01	4.367E+00
query1_unknown_host1_phage_test1	Q858F5_Salmonella_Bacteriophage_epsilon15_Podo_RBP	4.621E-01	70	7.623E-01	7.311E-01	2.252E-01	3.838E+00
query1_unknown_host1_phage_test1	P20345_Bacillus_Bacteriophage_phi-29_Podo_RBP	4.615E-01	66	7.300E-01	6.907E-01	2.599E-01	3.825E+00
query1_unknown_host1_phage_test1	P07537_Bacillus_Bacteriophage_PZA_Podo_RBP	4.608E-01	66	7.675E-01	6.898E-01	2.593E-01	3.772E+00
query1_unknown_host1_phage_test1	AEM91897.1_Escherichia_Bacteriophage_Cba120_Sipho_RBP	4.391E-01	64	6.948E-01	6.699E-01	2.374E-01	4.051E+00
query1_unknown_host1_phage_test1	AEM91899.1_Escherichia_Bacteriophage_Cba120_Sipho_RBP	4.357E-01	65	7.013E-01	6.829E-01	2.198E-01	4.442E+00
query1_unknown_host1_phage_test1	AVZ45096_Escherichia_Bacteriophage_EP335_Podo_RBP	2.126E-01	28	3.285E-01	3.043E-01	1.453E-01	6.337E+00
query1_unknown_host1_phage_test1	P13332_Enterobacteria_Bacteriophage_T4_Myo_RBP	1.929E-01	24	2.882E-01	2.697E-01	1.479E-01	7.279E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	YP_003347556.1_Klebsiella_Bacteriophage_KP32_Podo_RBP	8.705E-01	87	8.890E-01	8.847E-01	8.832E-01	3.685E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	YP_654147.1_Escherichia_Bacteriophage_K1-5_Podo_RBP	5.141E-01	53	6.672E-01	5.481E-01	5.031E-01	4.784E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	Q9XJP3_Shigella_Bacteriophage_Sf6_Podo_RBP	5.132E-01	53	6.693E-01	5.460E-01	5.088E-01	5.219E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	O09496_Escherichia_Bacteriophage_K5_Podo_RBP	5.111E-01	53	6.609E-01	5.458E-01	5.012E-01	5.173E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	P12528_Salmonella_Bacteriophage_P22_Podo_RBP	4.979E-01	53	5.911E-01	5.438E-01	4.755E-01	4.849E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	APZ82848.1_Klebsiella_Bacteriophage_K5-4_Myo_RBP	4.967E-01	53	5.719E-01	5.497E-01	4.716E-01	5.337E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	AEM91898.1_Escherichia_Bacteriophage_Cba120_Sipho_RBP	4.891E-01	50	6.597E-01	5.217E-01	4.829E-01	4.930E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	YP_009880322.1_Escherichia_Bacteriophage_ep75_Sipho_RBP	4.840E-01	54	5.680E-01	5.572E-01	4.395E-01	5.793E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	P20345_Bacillus_Bacteriophage_phi-29_Podo_RBP	4.591E-01	53	6.007E-01	5.525E-01	3.849E-01	4.941E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	P07537_Bacillus_Bacteriophage_PZA_Podo_RBP	4.510E-01	52	5.737E-01	5.434E-01	3.798E-01	4.839E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	AEM91897.1_Escherichia_Bacteriophage_Cba120_Sipho_RBP	4.328E-01	52	5.628E-01	5.351E-01	3.445E-01	4.357E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	AEL79676.1_Escherichia_Bacteriophage_vB_EcoP_G7C_Podo_RBP	4.230E-01	53	5.511E-01	5.504E-01	3.168E-01	5.586E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	Q858F5_Salmonella_Bacteriophage_epsilon15_Podo_RBP	4.180E-01	53	5.962E-01	5.447E-01	3.083E-01	5.094E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	YP_512279.1_Escherichia_Bacteriophage_phiV10_Sipho_RBP	3.904E-01	46	7.418E-01	4.732E-01	3.179E-01	3.629E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	K9L8K6_Klebsiella_Bacteriophage_KP36_Podo_RBP	3.889E-01	45	4.822E-01	4.762E-01	3.312E-01	6.642E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	P0DTN7_Klebsiella_Bacteriophage_B1_Podo_RBP	3.858E-01	46	5.206E-01	4.758E-01	3.182E-01	5.841E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	P0DTN8_Klebsiella_Bacteriophage_RAD2_Podo_RBP	3.847E-01	45	5.254E-01	4.743E-01	3.176E-01	5.891E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	AEM91899.1_Escherichia_Bacteriophage_Cba120_Sipho_RBP	3.611E-01	44	4.677E-01	4.657E-01	2.843E-01	6.879E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	pdb_00002fsd_Lactococcus_Bacteriophage_bIL170_Sipho_RBP	2.957E-01	14	5.830E-01	1.462E-01	4.887E-01	3.715E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	pdb_00001zru_Lactococcal_Bacteriophage_P2_Myo_RBP	2.951E-01	21	4.674E-01	2.195E-01	4.099E-01	5.797E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	pdb_00005e7f_Lactococcus_Bacteriophage_Tuc2009_Sipho_RBP	2.950E-01	17	4.996E-01	1.809E-01	4.623E-01	5.475E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	P49714_Escherichia_Bacteriophage_K1E_Podo_RBP	2.792E-01	31	3.399E-01	3.325E-01	2.553E-01	8.094E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	YP_004782195.1_Escherichia_Bacteriophage_vB_EcoP_G7C_Podo_RBP	2.764E-01	31	3.799E-01	3.361E-01	2.491E-01	8.382E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	M1EBB2.1_Salmonella_Salmonella_phage_vB_SenM-S16_Myo_RBP	2.729E-01	17	4.034E-01	1.825E-01	3.838E-01	4.039E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	YP_009788589.1_Klebsiella_Bacteriophage_K5-2_Myo_RBP	2.598E-01	29	3.713E-01	3.097E-01	2.352E-01	7.502E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	YP_009168860.1_Escherichia_Bacteriophage_K1H_Podo_RBP	2.488E-01	29	3.168E-01	3.164E-01	2.087E-01	8.044E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	YP_654148.1_Escherichia_Bacteriophage_K1-5_Podo_RBP	2.485E-01	27	3.085E-01	2.970E-01	2.272E-01	8.050E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	pdb_00002f0c_Lactococcus_Bacteriophage_P335_Sipho_RBP	2.479E-01	14	5.156E-01	1.518E-01	3.793E-01	4.569E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	P13332_Enterobacteria_Bacteriophage_T4_Myo_RBP	2.447E-01	25	2.882E-01	2.725E-01	2.455E-01	8.132E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	CBY99572.1_Escherichia_Bacteriophage_phi92_Myo_RBP	2.411E-01	28	3.100E-01	3.000E-01	2.085E-01	8.228E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	AUV56907.1_Staphylococcus_Bacteriophage_vB_SauM_LM12_Myo_RBP	2.315E-01	21	2.677E-01	2.245E-01	2.669E-01	7.515E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	pdb_0000q0pdk6_Bacillus_Bacteriophage_SPP1_Sipho_RBP	2.313E-01	29	3.065E-01	3.056E-01	1.751E-01	6.735E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	Q04830_Escherichia_Bacteriophage_K1F_Podo_RBP	2.302E-01	28	3.047E-01	2.999E-01	1.861E-01	8.315E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	pdb_00008xci_Escherichia_Bacteriophage_lambda_Sipho_RBP	1.984E-01	24	2.786E-01	2.633E-01	1.530E-01	7.898E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	NP_112089.1_Enterobacteria_Bacteriophage_HK620_Sipho_RBP	1.964E-01	9	4.191E-01	1.011E-01	3.383E-01	5.245E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	P23207.2_Escherichia_Bacteriophage_T5_Sipho_RBP	1.718E-01	17	2.992E-01	1.889E-01	1.745E-01	8.004E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	YP_006382457.1_Escherichia_Bacteriophage_vB_EcoS_AKFV33_Sipho_RBP	1.659E-01	16	2.848E-01	1.766E-01	1.743E-01	7.975E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	P03748_Escherichia_Bacteriophage_T7_Podo_RBP	1.652E-01	16	4.142E-01	1.708E-01	1.763E-01	7.015E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	OUTGROUP_CAPSID_03_Escherichia_phage_vB_EcoM_VR25_major_head_protein_YP_009209931.1_OUTGROUP	1.613E-01	15	2.373E-01	1.654E-01	1.762E-01	8.381E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	OUTGROUP_CAPSID_06_Enterobacter_phage_CC31_major_head_protein_YP_004010035.1_OUTGROUP	1.590E-01	15	2.331E-01	1.625E-01	1.754E-01	8.423E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	OUTGROUP_CAPSID_04_Escherichia_phage_IME08_major_head_protein_YP_003734314.1_OUTGROUP	1.567E-01	15	2.475E-01	1.596E-01	1.721E-01	7.747E+00
query5_Klebsiella_pneumoniae_Klebsiella_phage_K5	P10308_Enterobacteria_Bacteriophage_T3_Podo_RBP	1.498E-01	14	4.448E-01	1.542E-01	1.583E-01	6.362E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	pdb_00006iab_Staphylococcus_Bacteriophage_P68_Sipho_RBP	3.440E-01	30	6.206E-01	3.086E-01	3.872E-01	3.639E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	pdb_0000q0pdk6_Bacillus_Bacteriophage_SPP1_Sipho_RBP	3.310E-01	37	4.627E-01	3.831E-01	2.969E-01	6.112E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	pdb_00005efv_Staphylococcus_Bacteriophage_11_Sipho_RBP	3.309E-01	29	8.290E-01	2.956E-01	3.740E-01	3.336E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	YP_654148.1_Escherichia_Bacteriophage_K1-5_Podo_RBP	2.606E-01	25	4.061E-01	2.656E-01	2.709E-01	6.329E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	Q858F5_Salmonella_Bacteriophage_epsilon15_Podo_RBP	2.591E-01	28	3.155E-01	2.976E-01	2.435E-01	8.154E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	AUV56907.1_Staphylococcus_Bacteriophage_vB_SauM_LM12_Myo_RBP	2.443E-01	19	3.182E-01	1.983E-01	3.176E-01	7.413E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	pdb_00008xci_Escherichia_Bacteriophage_lambda_Sipho_RBP	2.198E-01	24	2.601E-01	2.580E-01	2.049E-01	9.148E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	P13332_Enterobacteria_Bacteriophage_T4_Myo_RBP	2.194E-01	20	2.800E-01	2.104E-01	2.516E-01	8.369E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	AEL79676.1_Escherichia_Bacteriophage_vB_EcoP_G7C_Podo_RBP	2.179E-01	23	2.790E-01	2.499E-01	2.078E-01	9.298E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	Q04830_Escherichia_Bacteriophage_K1F_Podo_RBP	2.171E-01	23	4.636E-01	2.476E-01	2.007E-01	6.873E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	OUTGROUP_CAPSID_01_Escherichia_phage_T4_major_head_protein_NP_049787.1_OUTGROUP	2.158E-01	17	2.790E-01	1.891E-01	2.690E-01	8.395E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	OUTGROUP_CAPSID_05_Klebsiella_phage_vB_KpnM_KpV477_major_head_protein_YP_009288862.1_OUTGROUP	2.150E-01	17	2.776E-01	1.866E-01	2.682E-01	7.978E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	OUTGROUP_CAPSID_02_Escherichia_phage_phiC120_major_head_protein_YP_010090013.1_OUTGROUP	2.140E-01	17	2.859E-01	1.861E-01	2.665E-01	7.891E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	YP_006382457.1_Escherichia_Bacteriophage_vB_EcoS_AKFV33_Sipho_RBP	2.140E-01	18	3.043E-01	1.933E-01	2.552E-01	7.325E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	P07876_Enterobacteria_Bacteriophage_K3_Podo_RBP	2.135E-01	12	3.337E-01	1.300E-01	3.271E-01	6.435E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	OUTGROUP_CAPSID_04_Escherichia_phage_IME08_major_head_protein_YP_003734314.1_OUTGROUP	2.121E-01	17	2.746E-01	1.851E-01	2.643E-01	8.299E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	P07875_Enterobacteria_Bacteriophage_T2_Myo_RBP	2.084E-01	12	3.265E-01	1.300E-01	3.193E-01	6.664E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	AEM91897.1_Escherichia_Bacteriophage_Cba120_Sipho_RBP	2.049E-01	21	2.650E-01	2.230E-01	2.064E-01	8.926E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	K9L8K6_Klebsiella_Bacteriophage_KP36_Podo_RBP	2.039E-01	20	2.373E-01	2.190E-01	2.092E-01	9.184E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	OUTGROUP_CAPSID_03_Escherichia_phage_vB_EcoM_VR25_major_head_protein_YP_009209931.1_OUTGROUP	2.032E-01	16	2.643E-01	1.788E-01	2.536E-01	8.348E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	APZ82848.1_Klebsiella_Bacteriophage_K5-4_Myo_RBP	2.021E-01	18	2.566E-01	1.987E-01	2.290E-01	8.603E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	pdb_00001zru_Lactococcal_Bacteriophage_P2_Myo_RBP	1.989E-01	11	3.279E-01	1.218E-01	3.038E-01	6.401E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	AEM91899.1_Escherichia_Bacteriophage_Cba120_Sipho_RBP	1.987E-01	21	2.588E-01	2.260E-01	1.902E-01	8.921E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	YP_009168860.1_Escherichia_Bacteriophage_K1H_Podo_RBP	1.975E-01	21	2.560E-01	2.196E-01	1.927E-01	8.735E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	M1EBB2.1_Salmonella_Salmonella_phage_vB_SenM-S16_Myo_RBP	1.970E-01	11	3.087E-01	1.208E-01	3.065E-01	6.763E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	YP_004782195.1_Escherichia_Bacteriophage_vB_EcoP_G7C_Podo_RBP	1.954E-01	19	2.092E-01	2.066E-01	2.026E-01	8.626E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	CBY99572.1_Escherichia_Bacteriophage_phi92_Myo_RBP	1.947E-01	20	2.288E-01	2.125E-01	1.966E-01	8.949E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	Q775D6_Bordetella_Bacteriophage_BPP-1_Podo_RBP	1.946E-01	13	2.710E-01	1.446E-01	2.683E-01	6.793E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	YP_001671760.1_Escherichia_Bacteriophage_PhiEco32_Podo_RBP	1.936E-01	18	2.412E-01	1.917E-01	2.140E-01	7.971E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	OUTGROUP_CAPSID_06_Enterobacter_phage_CC31_major_head_protein_YP_004010035.1_OUTGROUP	1.921E-01	16	2.461E-01	1.702E-01	2.393E-01	8.585E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	P07537_Bacillus_Bacteriophage_PZA_Podo_RBP	1.910E-01	19	2.643E-01	2.019E-01	1.978E-01	8.878E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	P49714_Escherichia_Bacteriophage_K1E_Podo_RBP	1.880E-01	18	2.447E-01	1.959E-01	1.994E-01	9.063E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	YP_003347556.1_Klebsiella_Bacteriophage_KP32_Podo_RBP	1.874E-01	16	2.446E-01	1.704E-01	2.254E-01	7.971E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	YP_009788589.1_Klebsiella_Bacteriophage_K5-2_Myo_RBP	1.844E-01	18	2.991E-01	1.892E-01	1.927E-01	7.270E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	P12528_Salmonella_Bacteriophage_P22_Podo_RBP	1.839E-01	16	2.674E-01	1.767E-01	2.096E-01	8.108E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	pdb_00002f0c_Lactococcus_Bacteriophage_P335_Sipho_RBP	1.786E-01	8	3.261E-01	9.084E-02	2.971E-01	5.894E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	pdb_00002fsd_Lactococcus_Bacteriophage_bIL170_Sipho_RBP	1.756E-01	8	3.661E-01	8.399E-02	3.126E-01	6.056E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	QQG32074.1_Salmonella_Bacteriophage_vB_CkoM_CkP1_Myo_RBP	1.742E-01	16	2.820E-01	1.678E-01	1.984E-01	8.269E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	NP_112089.1_Enterobacteria_Bacteriophage_HK620_Sipho_RBP	1.734E-01	6	3.274E-01	6.896E-02	3.181E-01	5.652E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	P20345_Bacillus_Bacteriophage_phi-29_Podo_RBP	1.704E-01	17	2.351E-01	1.805E-01	1.769E-01	9.030E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	YP_009880322.1_Escherichia_Bacteriophage_ep75_Sipho_RBP	1.686E-01	16	2.429E-01	1.728E-01	1.847E-01	9.230E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	QLF82969.1_Klebsiella_Bacteriophage_KpnM6E1_Myo_RBP	1.657E-01	7	3.745E-01	7.885E-02	2.836E-01	5.960E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	AVZ45096_Escherichia_Bacteriophage_EP335_Podo_RBP	1.640E-01	15	2.255E-01	1.639E-01	1.810E-01	8.400E+00
query4_unknown_host_Lactobacillus_phage_ViSo_2018a	AEM91898.1_Escherichia_Bacteriophage_Cba120_Sipho_RBP	1.621E-01	14	2.456E-01	1.532E-01	1.890E-01	8.231E+00
